iter	Passed	Remaining
236	1435	10073
237	1441	10066
238	1447	10062
239	1453	10055
240	1460	10052
241	1466	10046
242	1472	10040
243	1479	10038
244	1484	10030
245	1490	10024
246	1497	10018
247	1503	10012
248	1509	10008
249	1515	10003
250	1521	9997
251	1528	9994
252	1534	9989
253	1540	9984
254	1547	9980
255	1553	9974
256	1559	9970
257	1565	9965
258	1571	9959
259	1578	9956
260	1584	9950
261	1590	9944
262	1596	9940
263	1603	9935
264	1609	9930
265	1615	9924
266	1621	9917
267	1627	9913
268	1634	9910
269	1640	9905
270	1646	9899
271	1652	9891
272	1658	9885
273	1665	9881
274	1671	9875
275	1677	9870
276	1683	9864
277	1689	9860
278	1695	9853
279	1702	9848
280	1708	9842
281	1714	9834
282	1720	9829
283	1726	9824
284	1732	9819
285	1738	9813
286	1745	9807
287	1751	9803
288	1757	9798
289	1763	9791
290	1769	9786
291	1776	9780
292	1782	9774
293	1788	9767
294	1794	9763
295	1800	9755
296	1806	9751
297	1813	9747
298	1819	9742
299	1825	9736
300	1831	9729
301	1837	9723
302	1843	9716
303	1849	9711
304	1856	9706
305	1861	9699
306	1868	9693
307	1874	9687
308	1880	9682
309	1886	9677
310	1893	9672
311	1898	9664
312	1905	9660
313	1911	9654
314	1917	9648
315	1923	9643
316	1929	9636
317	1936	9632
318	1942	9628
319	1948	9622
320	1955	9618
321	1961	9611
322	1967	9604
323	1973	9598
324	1979	9592
325	1985	9586
326	1991	9582
327	1997	9574
328	2003	9568
329	2009	9561
330	2016	9556
331	2022	9550
332	2028	9544
333	2034	9538
334	2040	9531
335	2046	9525
336	2052	9518
337	2058	9512
338	2064	9505
339	2070	9500
340	2076	9495
341	2083	9490
342	2089	9484
343	2095	9478
344	2101	9471
345	2107	9465
346	2113	9457
347	2119	9451
348	2125	9445
349	2131	9440
350	2137	9435
351	2143	9428
352	2149	9421
353	2155	9415
354	2161	9407
355	2167	9402
356	2173	9396
357	2179	9389
358	2186	9385
359	2192	9377
360	2198	9372
361	2204	9366
362	2210	9361
363	2216	9354
364	2223	9349
365	2229	9342
366	2235	9336
367	2241	9330
368	2247	9324
369	2253	9317
370	2259	9310
371	2265	9304
372	2271	9298
373	2277	9291
374	2283	9287
375	2289	9281
376	2296	9275
377	2302	9270
378	2308	9263
379	2314	9257
380	2320	9250
381	2326	9243
382	2332	9237
383	2337	9229
384	2343	9222
385	2349	9216
386	2355	9209
387	2361	9201
388	2367	9196
389	2373	9190
390	2379	9185
391	2386	9179
392	2392	9173
393	2398	9167
394	2404	9161
395	2410	9156
396	2416	9150
397	2422	9143
398	2428	9136
399	2434	9130
400	2440	9124
401	2447	9119
402	2453	9112
403	2458	9105
404	2465	9100
405	2471	9095
406	2477	9089
407	2478	9064
408	2484	9058
409	2490	9052
410	2497	9047
411	2503	9041
412	2509	9034
413	2515	9028
414	2521	9022
415	2527	9017
416	2533	9011
417	2539	9005
418	2545	8999
419	2552	8992
420	2558	8986
421	2564	8980
422	2569	8973
423	2575	8967
424	2582	8961
425	2588	8955
426	2594	8949
427	2600	8943
428	2606	8937
429	2612	8930
430	2618	8924
431	2624	8917
432	2630	8910
433	2635	8903
434	2641	8896
435	2648	8891
436	2654	8885
437	2659	8878
438	2665	8872
439	2672	8866
440	2678	8860
441	2684	8853
442	2689	8847
443	2696	8841
444	2701	8834
445	2708	8828
446	2714	8822
447	2720	8818
448	2727	8813
449	2733	8808
450	2740	8803
451	2746	8797
452	2752	8792
453	2758	8787
454	2764	8780
455	2771	8775
456	2777	8768
457	2783	8762
458	2789	8756
459	2795	8749
460	2801	8744
461	2807	8738
462	2813	8733
463	2820	8728
464	2826	8723
465	2833	8717
466	2839	8711
467	2845	8706
468	2851	8701
469	2858	8695
470	2864	8691
471	2870	8685
472	2877	8681
473	2883	8675
474	2890	8670
475	2896	8665
476	2902	8658
477	2908	8653
478	2914	8647
479	2921	8641
480	2927	8637
481	2934	8632
482	2940	8627
483	2946	8621
484	2952	8614
485	2958	8609
486	2965	8603
487	2971	8596
488	2977	8591
489	2983	8585
490	2989	8578
491	2995	8571
492	3001	8565
493	3007	8559
494	3013	8553
495	3019	8546
496	3025	8541
497	3031	8534
498	3037	8527
499	3043	8522
500	3049	8516
501	3055	8509
502	3062	8504
503	3068	8497
504	3074	8493
505	3080	8486
506	3086	8480
507	3092	8474
508	3098	8467
509	3104	8460
510	3110	8455
511	3116	8449
512	3123	8443
513	3129	8437
514	3135	8431
515	3141	8425
516	3147	8418
517	3153	8412
518	3159	8405
519	3165	8399
520	3171	8393
521	3177	8388
522	3183	8381
523	3189	8375
524	3195	8368
525	3201	8363
526	3207	8357
527	3214	8351
528	3220	8345
529	3226	8340
530	3232	8333
531	3238	8327
532	3244	8321
533	3250	8315
534	3256	8308
535	3262	8301
536	3268	8295
537	3274	8289
538	3280	8283
539	3286	8277
540	3292	8272
541	3298	8265
542	3305	8259
543	3311	8253
544	3317	8247
545	3323	8241
546	3328	8234
547	3335	8228
548	3341	8223
549	3347	8217
550	3354	8211
551	3360	8206
552	3366	8200
553	3372	8194
554	3378	8188
555	3384	8181
556	3390	8175
557	3396	8169
558	3402	8163
559	3408	8156
560	3414	8150
561	3421	8145
562	3427	8139
563	3433	8133
564	3440	8128
565	3446	8121
566	3451	8115
567	3458	8109
568	3463	8102
569	3469	8096
570	3475	8089
571	3481	8083
572	3488	8078
573	3494	8072
574	3500	8065
575	3506	8059
576	3512	8053
577	3518	8046
578	3524	8040
579	3530	8034
580	3536	8029
581	3542	8022
582	3548	8015
583	3554	8010
584	3560	8003
585	3566	7997
586	3572	7990
587	3578	7984
588	3584	7978
589	3590	7971
590	3596	7965
591	3602	7959
592	3608	7953
593	3614	7946
594	3620	7940
595	3626	7933
596	3629	7920
597	3634	7914
598	3640	7907
599	3646	7901
600	3653	7895
601	3659	7889
602	3665	7883
603	3671	7877
604	3677	7872
605	3684	7867
606	3690	7861
607	3697	7856
608	3703	7851
609	3710	7846
610	3716	7840
611	3722	7834
612	3728	7828
613	3735	7823
614	3741	7817
615	3747	7811
616	3753	7805
617	3759	7798
618	3765	7792
619	3771	7785
620	3777	7779
621	3783	7773
622	3789	7767
623	3795	7760
624	3801	7755
625	3807	7748
626	3813	7742
627	3819	7735
628	3825	7730
629	3831	7724
630	3837	7717
631	3843	7711
632	3849	7705
633	3855	7699
634	3862	7694
635	3868	7688
636	3874	7681
637	3880	7675
638	3886	7669
639	3892	7663
640	3898	7657
641	3904	7651
642	3910	7645
643	3917	7639
644	3923	7633
645	3928	7626
646	3934	7620
647	3940	7614
648	3946	7607
649	3952	7601
650	3958	7595
651	3964	7588
652	3971	7583
653	3977	7577
654	3983	7571
655	3989	7565
656	3995	7559
657	4001	7553
658	4008	7548
659	4014	7542
660	4021	7537
661	4027	7531
662	4033	7525
663	4039	7518
664	4045	7512
665	4051	7506
666	4057	7500
667	4063	7494
668	4069	7487
669	4075	7481
670	4081	7475
671	4087	7469
672	4093	7463
673	4100	7458
674	4106	7452
675	4112	7446
676	4118	7440
677	4124	7434
678	4130	7427
679	4136	7421
680	4142	7415
681	4149	7409
682	4155	7403
683	4161	7397
684	4167	7391
685	4173	7385
686	4179	7379
687	4185	7372
688	4191	7366
689	4197	7360
690	4202	7353
691	4208	7347
692	4214	7341
693	4221	7335
694	4227	7329
695	4233	7324
696	4240	7318
697	4247	7313
698	4253	7308
699	4259	7301
700	4265	7295
701	4271	7289
702	4277	7284
703	4283	7277
704	4290	7271
705	4295	7265
706	4301	7258
707	4307	7252
708	4313	7246
709	4319	7240
710	4325	7234
711	4331	7228
712	4337	7221
713	4344	7215
714	4350	7210
715	4356	7204
716	4362	7197
717	4368	7192
718	4374	7185
719	4380	7179
720	4386	7173
721	4392	7166
722	4398	7160
723	4404	7155
724	4411	7149
725	4416	7142
726	4422	7136
727	4429	7130
728	4435	7124
729	4441	7118
730	4447	7112
731	4453	7106
732	4460	7101
733	4466	7095
734	4472	7089
735	4478	7083
736	4484	7077
737	4491	7071
738	4497	7065
739	4503	7059
740	4509	7053
741	4515	7047
742	4522	7042
743	4528	7036
744	4534	7030
745	4540	7023
746	4546	7017
747	4552	7011
748	4558	7005
749	4564	6999
750	4571	6993
751	4577	6987
752	4583	6982
753	4589	6975
754	4595	6969
755	4601	6963
756	4607	6957
757	4613	6951
758	4620	6945
759	4626	6940
760	4632	6933
761	4638	6927
762	4644	6921
763	4650	6915
764	4656	6909
765	4662	6902
766	4668	6896
767	4675	6890
768	4681	6884
769	4687	6878
770	4693	6872
771	4699	6866
772	4705	6859
773	4711	6853
774	4717	6847
775	4723	6841
776	4729	6835
777	4735	6829
778	4741	6823
779	4747	6817
780	4754	6811
781	4760	6805
782	4766	6799
783	4772	6792
784	4778	6786
785	4784	6780
786	4790	6774
787	4795	6767
788	4802	6762
789	4808	6755
790	4814	6750
791	4820	6743
792	4826	6737
793	4832	6731
794	4838	6725
795	4844	6719
796	4850	6712
797	4856	6706
798	4862	6700
799	4868	6694
800	4872	6684
801	4878	6678
802	4884	6672
803	4890	6666
804	4896	6660
805	4902	6654
806	4908	6647
807	4914	6641
808	4920	6636
809	4926	6630
810	4932	6623
811	4938	6617
812	4945	6611
813	4951	6605
814	4957	6599
815	4963	6593
816	4969	6587
817	4975	6581
818	4981	6575
819	4987	6569
820	4993	6563
821	5000	6557
822	5006	6551
823	5012	6545
824	5018	6539
825	5024	6533
826	5031	6527
827	5037	6521
828	5043	6515
829	5049	6509
830	5055	6503
831	5061	6497
832	5067	6491
833	5073	6484
834	5079	6478
835	5086	6473
836	5092	6467
837	5098	6461
838	5104	6454
839	5110	6448
840	5116	6442
841	5122	6436
842	5128	6430
843	5134	6424
844	5140	6417
845	5146	6411
846	5152	6405
847	5158	6399
848	5164	6393
849	5170	6387
850	5176	6381
851	5182	6375
852	5188	6369
853	5194	6362
854	5200	6356
855	5206	6350
856	5212	6344
857	5218	6337
858	5224	6331
859	5230	6324
860	5236	6318
861	5242	6312
862	5247	6305
863	5254	6300
864	5260	6294
865	5266	6288
866	5272	6282
867	5278	6275
868	5284	6269
869	5290	6264
870	5297	6258
871	5303	6251
872	5308	6245
873	5314	6238
874	5320	6232
875	5326	6226
876	5332	6220
877	5338	6214
878	5344	6208
879	5352	6204
880	5360	6200
881	5367	6195
882	5374	6189
883	5380	6183
884	5386	6178
885	5393	6172
886	5400	6168
887	5408	6163
888	5414	6157
889	5422	6153
890	5436	6155
891	5448	6156
892	5456	6153
893	5479	6165
894	5488	6162
895	5494	6157
896	5505	6155
897	5513	6152
898	5523	6150
899	5530	6144
900	5536	6139
901	5543	6133
902	5550	6128
903	5556	6122
904	5564	6118
905	5572	6113
906	5579	6108
907	5587	6104
908	5595	6099
909	5602	6095
910	5610	6090
911	5617	6085
912	5624	6080
913	5631	6075
914	5638	6069
915	5644	6063
916	5651	6058
917	5658	6052
918	5664	6047
919	5671	6041
920	5678	6035
921	5684	6029
922	5690	6023
923	5696	6017
924	5703	6011
925	5709	6005
926	5715	5999
927	5721	5992
928	5727	5986
929	5733	5980
930	5739	5974
931	5745	5967
932	5751	5961
933	5757	5955
934	5763	5948
935	5770	5942
936	5776	5936
937	5782	5930
938	5788	5924
939	5795	5918
940	5801	5912
941	5807	5905
942	5813	5899
943	5819	5893
944	5826	5887
945	5832	5881
946	5838	5875
947	5844	5869
948	5851	5863
949	5856	5856
950	5862	5850
951	5868	5844
952	5874	5837
953	5880	5831
954	5887	5825
955	5893	5819
956	5899	5813
957	5905	5807
958	5911	5800
959	5918	5795
960	5924	5788
961	5930	5782
962	5936	5776
963	5942	5770
964	5948	5763
965	5954	5757
966	5960	5750
967	5966	5744
968	5972	5738
969	5978	5732
970	5985	5726
971	5991	5720
972	5997	5713
973	6003	5707
974	6009	5701
975	6015	5695
976	6021	5689
977	6027	5682
978	6034	5676
979	6040	5670
980	6046	5664
981	6052	5657
982	6058	5651
983	6063	5644
984	6070	5638
985	6076	5632
986	6082	5626
987	6088	5619
988	6094	5613
989	6099	5606
990	6105	5600
991	6112	5594
992	6118	5588
993	6124	5582
994	6131	5576
995	6137	5570
996	6143	5564
997	6149	5558
998	6155	5551
999	6161	5545
1000	6167	5539
1001	6173	5532
1002	6179	5526
1003	6186	5520
1004	6192	5514
1005	6198	5508
1006	6205	5502
1007	6211	5496
1008	6217	5490
1009	6223	5483
1010	6229	5478
1011	6236	5472
1012	6242	5465
1013	6248	5459
1014	6254	5453
1015	6261	5447
1016	6267	5441
1017	6273	5435
1018	6279	5429
1019	6285	5423
1020	6291	5416
1021	6297	5410
1022	6303	5403
1023	6309	5397
1024	6315	5391
1025	6321	5384
1026	6327	5378
1027	6333	5372
1028	6339	5365
1029	6345	5359
1030	6351	5353
1031	6357	5347
1032	6363	5340
1033	6369	5334
1034	6375	5328
1035	6381	5321
1036	6387	5315
1037	6393	5309
1038	6399	5303
1039	6405	5296
1040	6411	5290
1041	6417	5284
1042	6423	5278
1043	6429	5271
1044	6435	5265
1045	6441	5259
1046	6447	5252
1047	6453	5246
1048	6459	5240
1049	6465	5234
1050	6472	5228
1051	6478	5222
1052	6484	5215
1053	6490	5209
1054	6496	5203
1055	6502	5196
1056	6508	5190
1057	6514	5184
1058	6520	5178
1059	6526	5172
1060	6532	5165
1061	6538	5159
1062	6544	5153
1063	6550	5147
1064	6556	5140
1065	6562	5134
1066	6568	5128
1067	6574	5121
1068	6580	5115
1069	6586	5109
1070	6592	5102
1071	6598	5096
1072	6604	5090
1073	6610	5084
1074	6616	5078
1075	6622	5071
1076	6628	5065
1077	6634	5059
1078	6640	5052
1079	6646	5046
1080	6652	5040
1081	6658	5033
1082	6664	5027
1083	6670	5021
1084	6676	5014
1085	6682	5008
1086	6688	5002
1087	6694	4995
1088	6700	4989
1089	6706	4983
1090	6712	4977
1091	6718	4970
1092	6723	4964
1093	6729	4958
1094	6735	4951
1095	6741	4945
1096	6748	4939
1097	6754	4933
1098	6760	4927
1099	6766	4920
1100	6772	4915
1101	6779	4909
1102	6785	4903
1103	6791	4896
1104	6797	4890
1105	6803	4884
1106	6809	4878
1107	6815	4871
1108	6821	4865
1109	6827	4859
1110	6833	4853
1111	6840	4847
1112	6846	4840
1113	6852	4834
1114	6858	4828
1115	6864	4822
1116	6870	4816
1117	6876	4809
1118	6882	4803
1119	6888	4797
1120	6894	4791
1121	6900	4784
1122	6906	4778
1123	6912	4772
1124	6918	4766
1125	6924	4759
1126	6930	4753
1127	6936	4747
1128	6942	4740
1129	6948	4734
1130	6954	4728
1131	6959	4721
1132	6966	4715
1133	6972	4709
1134	6977	4703
1135	6983	4696
1136	6989	4690
1137	6995	4684
1138	7001	4677
1139	7007	4671
1140	7013	4665
1141	7019	4659
1142	7025	4652
1143	7031	4646
1144	7037	4640
1145	7043	4633
1146	7049	4627
1147	7054	4621
1148	7060	4614
1149	7066	4608
1150	7072	4602
1151	7078	4595
1152	7084	4589
1153	7089	4583
1154	7095	4576
1155	7101	4570
1156	7107	4564
1157	7113	4558
1158	7119	4551
1159	7125	4545
1160	7131	4539
1161	7137	4532
1162	7143	4526
1163	7149	4520
1164	7155	4514
1165	7161	4508
1166	7167	4501
1167	7173	4495
1168	7179	4489
1169	7185	4483
1170	7191	4477
1171	7197	4470
1172	7203	4464
1173	7209	4458
1174	7215	4452
1175	7221	4445
1176	7227	4439
1177	7233	4433
1178	7239	4427
1179	7245	4420
1180	7251	4414
1181	7257	4408
1182	7263	4402
1183	7270	4396
1184	7276	4390
1185	7282	4384
1186	7288	4378
1187	7295	4372
1188	7300	4365
1189	7306	4359
1190	7312	4353
1191	7318	4347
1192	7325	4341
1193	7331	4335
1194	7337	4328
1195	7343	4322
1196	7350	4316
1197	7355	4310
1198	7361	4304
1199	7368	4298
1200	7374	4292
1201	7380	4286
1202	7386	4279
1203	7392	4273
1204	7398	4267
1205	7404	4260
1206	7410	4254
1207	7416	4248
1208	7422	4242
1209	7428	4236
1210	7434	4229
1211	7440	4223
1212	7446	4217
1213	7452	4211
1214	7458	4204
1215	7463	4198
1216	7469	4192
1217	7475	4186
1218	7481	4179
1219	7487	4173
1220	7493	4167
1221	7500	4161
1222	7506	4155
1223	7512	4149
1224	7518	4142
1225	7524	4136
1226	7529	4130
1227	7536	4124
1228	7542	4117
1229	7548	4111
1230	7554	4105
1231	7560	4099
1232	7565	4092
1233	7572	4086
1234	7578	4080
1235	7584	4074
1236	7590	4068
1237	7596	4061
1238	7602	4055
1239	7608	4049
1240	7614	4043
1241	7620	4037
1242	7625	4030
1243	7632	4024
1244	7638	4018
1245	7644	4012
1246	7650	4006
1247	7656	3999
1248	7662	3993
1249	7667	3987
1250	7673	3980
1251	7679	3974
1252	7685	3968
1253	7691	3962
1254	7697	3956
1255	7703	3950
1256	7709	3943
1257	7715	3937
1258	7721	3931
1259	7727	3925
1260	7733	3918
1261	7739	3912
1262	7744	3906
1263	7751	3900
1264	7757	3893
1265	7763	3887
1266	7769	3881
1267	7775	3875
1268	7781	3869
1269	7787	3863
1270	7793	3856
1271	7799	3850
1272	7805	3844
1273	7811	3838
1274	7817	3832
1275	7824	3826
1276	7830	3820
1277	7836	3813
1278	7842	3807
1279	7848	3801
1280	7854	3795
1281	7860	3789
1282	7866	3783
1283	7872	3776
1284	7878	3770
1285	7884	3764
1286	7890	3758
1287	7896	3752
1288	7902	3745
1289	7908	3739
1290	7914	3733
1291	7920	3727
1292	7926	3721
1293	7932	3715
1294	7939	3709
1295	7945	3703
1296	7951	3696
1297	7958	3690
1298	7964	3684
1299	7970	3678
1300	7976	3672
1301	7982	3666
1302	7988	3660
1303	7995	3654
1304	8001	3648
1305	8007	3641
1306	8013	3635
1307	8018	3629
1308	8024	3623
1309	8030	3616
1310	8036	3610
1311	8042	3604
1312	8048	3598
1313	8054	3592
1314	8060	3585
1315	8066	3579
1316	8072	3573
1317	8078	3567
1318	8084	3561
1319	8090	3554
1320	8096	3548
1321	8102	3542
1322	8108	3536
1323	8114	3530
1324	8121	3524
1325	8126	3517
1326	8132	3511
1327	8138	3505
1328	8144	3499
1329	8150	3493
1330	8156	3486
1331	8163	3480
1332	8169	3474
1333	8175	3468
1334	8182	3462
1335	8191	3457
1336	8198	3452
1337	8205	3446
1338	8212	3440
1339	8218	3434
1340	8225	3428
1341	8231	3422
1342	8237	3416
1343	8244	3410
1344	8249	3404
1345	8256	3398
1346	8262	3392
1347	8268	3385
1348	8274	3379
1349	8279	3373
1350	8285	3367
1351	8291	3360
1352	8297	3354
1353	8303	3348
1354	8309	3342
1355	8315	3336
1356	8321	3329
1357	8327	3323
1358	8333	3317
1359	8339	3311
1360	8345	3305
1361	8351	3299
1362	8358	3292
1363	8364	3286
1364	8370	3280
1365	8376	3274
1366	8382	3268
1367	8388	3262
1368	8394	3256
1369	8400	3249
1370	8407	3243
1371	8413	3237
1372	8419	3231
1373	8426	3225
1374	8432	3219
1375	8437	3213
1376	8444	3207
1377	8449	3200
1378	8455	3194
1379	8461	3188
1380	8467	3182
1381	8473	3176
1382	8479	3169
1383	8485	3163
1384	8492	3157
1385	8498	3151
1386	8504	3145
1387	8510	3139
1388	8516	3133
1389	8522	3127
1390	8528	3120
1391	8535	3114
1392	8541	3108
1393	8547	3102
1394	8553	3096
1395	8559	3090
1396	8565	3084
1397	8571	3077
1398	8577	3071
1399	8583	3065
1400	8589	3059
1401	8595	3053
1402	8601	3047
1403	8607	3040
1404	8613	3034
1405	8619	3028
1406	8625	3022
1407	8631	3016
1408	8637	3010
1409	8643	3003
1410	8650	2997
1411	8656	2991
1412	8662	2985
1413	8668	2979
1414	8674	2973
1415	8680	2967
1416	8686	2960
1417	8692	2954
1418	8698	2948
1419	8704	2942
1420	8710	2936
1421	8717	2930
1422	8723	2924
1423	8729	2918
1424	8735	2911
1425	8742	2905
1426	8748	2899
1427	8754	2893
1428	8760	2887
1429	8767	2881
1430	8773	2875
1431	8779	2869
1432	8785	2863
1433	8791	2856
1434	8797	2850
1435	8803	2844
1436	8809	2838
1437	8815	2832
1438	8821	2826
1439	8827	2820
1440	8833	2813
1441	8839	2807
1442	8846	2801
1443	8851	2795
1444	8858	2789
1445	8864	2783
1446	8870	2776
1447	8876	2770
1448	8882	2764
1449	8888	2758
1450	8894	2752
1451	8900	2746
1452	8906	2740
1453	8913	2734
1454	8919	2727
1455	8925	2721
1456	8931	2715
1457	8937	2709
1458	8943	2703
1459	8949	2697
1460	8955	2690
1461	8961	2684
1462	8967	2678
1463	8973	2672
1464	8979	2666
1465	8986	2660
1466	8992	2654
1467	8999	2648
1468	9005	2642
1469	9011	2636
1470	9017	2629
1471	9023	2623
1472	9029	2617
1473	9035	2611
1474	9041	2605
1475	9047	2599
1476	9054	2593
1477	9060	2586
1478	9066	2580
1479	9072	2574
1480	9078	2568
1481	9085	2562
1482	9091	2556
1483	9097	2550
1484	9103	2544
1485	9109	2537
1486	9116	2532
1487	9124	2526
1488	9131	2520
1489	9138	2514
1490	9145	2508
1491	9152	2502
1492	9158	2496
1493	9166	2490
1494	9173	2485
1495	9180	2479
1496	9187	2473
1497	9194	2467
1498	9201	2461
1499	9207	2455
1500	9214	2449
1501	9221	2443
1502	9228	2437
1503	9235	2431
1504	9242	2425
1505	9250	2420
1506	9257	2414
1507	9263	2408
1508	9270	2402
1509	9276	2395
1510	9282	2389
1511	9289	2383
1512	9295	2377
1513	9301	2371
1514	9307	2365
1515	9313	2359
1516	9319	2352
1517	9325	2346
1518	9331	2340
1519	9338	2334
1520	9344	2328
1521	9350	2322
1522	9356	2316
1523	9362	2309
1524	9368	2303
1525	9374	2297
1526	9380	2291
1527	9386	2285
1528	9393	2279
1529	9399	2272
1530	9405	2266
1531	9411	2260
1532	9417	2254
1533	9423	2248
1534	9429	2242
1535	9435	2235
1536	9441	2229
1537	9447	2223
1538	9453	2217
1539	9459	2211
1540	9465	2205
1541	9471	2198
1542	9477	2192
1543	9483	2186
1544	9489	2180
1545	9495	2174
1546	9501	2168
1547	9507	2161
1548	9513	2155
1549	9519	2149
1550	9525	2143
1551	9531	2137
1552	9537	2131
1553	9543	2124
1554	9549	2118
1555	9555	2112
1556	9561	2106
1557	9567	2100
1558	9573	2094
1559	9579	2087
1560	9585	2081
1561	9592	2075
1562	9597	2069
1563	9603	2063
1564	9609	2057
1565	9616	2050
1566	9622	2044
1567	9629	2038
1568	9635	2032
1569	9641	2026
1570	9647	2020
1571	9653	2014
1572	9659	2008
1573	9665	2001
1574	9671	1995
1575	9677	1989
1576	9683	1983
1577	9689	1977
1578	9695	1971
1579	9702	1965
1580	9708	1958
1581	9714	1952
1582	9720	1946
1583	9727	1940
1584	9733	1934
1585	9739	1928
1586	9745	1922
1587	9751	1915
1588	9757	1909
1589	9763	1903
1590	9769	1897
1591	9776	1891
1592	9782	1885
1593	9789	1879
1594	9795	1873
1595	9801	1867
1596	9807	1860
1597	9813	1854
1598	9820	1848
1599	9826	1842
1600	9832	1836
1601	9839	1830
1602	9844	1824
1603	9851	1817
1604	9856	1811
1605	9863	1805
1606	9869	1799
1607	9875	1793
1608	9881	1787
1609	9887	1780
1610	9893	1774
1611	9899	1768
1612	9905	1762
1613	9911	1756
1614	9917	1750
1615	9923	1743
1616	9929	1737
1617	9935	1731
1618	9941	1725
1619	9947	1719
1620	9953	1713
1621	9960	1707
1622	9966	1700
1623	9972	1694
1624	9978	1688
1625	9984	1682
1626	9991	1676
1627	9997	1670
1628	10003	1664
1629	10009	1658
1630	10015	1651
1631	10021	1645
1632	10027	1639
1633	10034	1633
1634	10040	1627
1635	10046	1621
1636	10052	1615
1637	10059	1608
1638	10065	1602
1639	10071	1596
1640	10077	1590
1641	10083	1584
1642	10090	1578
1643	10096	1572
1644	10102	1565
1645	10108	1559
1646	10114	1553
1647	10120	1547
1648	10126	1541
1649	10133	1535
1650	10138	1529
1651	10144	1522
1652	10150	1516
1653	10156	1510
1654	10162	1504
1655	10168	1498
1656	10174	1492
1657	10180	1485
1658	10186	1479
1659	10192	1473
1660	10199	1467
1661	10200	1460
1662	10207	1454
1663	10213	1448
1664	10218	1442
1665	10224	1436
1666	10230	1429
1667	10237	1423
1668	10243	1417
1669	10249	1411
1670	10254	1405
1671	10261	1399
1672	10267	1393
1673	10274	1387
1674	10280	1380
1675	10286	1374
1676	10292	1368
1677	10298	1362
1678	10305	1356
1679	10311	1350
1680	10317	1344
1681	10323	1337
